Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number
"J1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"SW37","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D39","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW33","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D35","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW29","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D31","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW25","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D27","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW21","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D23","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW17","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D19","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW13","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D15","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW9","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D11","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW5","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D7","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW1","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D1","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D16","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW10","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D12","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW6","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D8","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW2","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
